date,youth_unemployment_rate,işkur,iş_ilanı,iş_arıyorum,linkedin,kariyer_net,iş_kurumu,cv_hazırlama,işsizlik_maaşı,işsizlik_sigortası,işsizlik_ödeneği,inflation,usd_try,interest_rate,industrial_production
2015-01-01,19.0,37,46,95,56,89,60,27,27,95,5,250.45,2.32834286,7.75,69.96031297
2015-02-01,19.0,36,48,99,63,97,66,33,26,84,4,252.24,2.455225,7.5,69.98220642
2015-03-01,19.2,36,48,94,61,100,62,31,22,76,3,255.23,2.58384091,7.5,72.82197603
2015-04-01,18.5,32,42,86,59,84,52,16,20,79,4,259.39,2.64814286,7.5,73.10918024
2015-05-01,18.5,28,44,78,55,71,43,19,22,77,4,260.85,2.64613684,7.5,73.12178461
2015-06-01,18.7,29,54,85,61,88,47,31,26,68,4,259.51,2.70115909,7.5,73.82395273
2015-07-01,18.1,32,55,86,64,88,55,39,25,69,4,259.74,2.69460455,7.5,73.34279628
2015-08-01,18.2,33,58,88,69,90,54,32,23,67,3,260.78,2.84555714,7.5,75.46127322
2015-09-01,18.2,30,56,84,61,69,45,21,24,66,5,263.11,3.002715,7.5,75.5376384
2015-10-01,18.3,34,59,96,65,73,51,16,25,69,4,267.2,2.92957619,7.5,73.73191042
2015-11-01,18.0,34,53,92,61,64,50,17,28,77,3,268.98,2.87128571,7.5,75.36672807
2015-12-01,17.5,30,48,88,65,62,48,20,31,78,4,269.54,2.91723478,7.5,75.96849344
2016-01-01,17.7,28,56,93,52,50,46,16,48,96,5,274.44,3.00695,7.5,75.40022028
2016-02-01,18.0,30,63,95,58,58,53,16,46,100,5,274.38,2.9406619,7.5,76.23613953
2016-03-01,17.7,31,56,86,55,54,50,17,42,73,4,274.27,2.89173913,7.5,75.44351994
2016-04-01,18.6,30,50,73,54,50,41,18,40,71,3,276.42,2.8347381,7.5,75.59487991
2016-05-01,19.1,29,55,74,52,48,47,20,35,71,4,278.02,2.92659524,7.5,76.83576128
2016-06-01,19.1,29,62,78,54,53,47,18,38,79,4,279.33,2.91698636,7.5,76.47974377
2016-07-01,19.7,28,66,84,46,52,51,17,40,64,4,282.58,2.95755556,7.5,71.81937658
2016-08-01,19.6,34,73,98,51,53,70,20,46,72,5,281.76,2.96286364,7.5,77.16211604
2016-09-01,20.3,33,71,97,50,50,57,25,47,73,5,282.27,2.9601,7.5,74.99373415
2016-10-01,20.8,33,74,100,52,56,52,25,46,78,6,286.33,3.06794286,7.5,78.26817023
2016-11-01,21.3,30,73,96,55,50,49,22,42,73,4,287.81,3.26745,8.0,77.71771545
2016-12-01,22.2,31,62,90,46,42,69,20,44,68,4,292.54,3.48892727,8.0,77.23046249
2017-01-01,22.0,35,63,99,47,45,62,15,49,72,5,299.74,3.73488636,8.0,77.82012303
2017-02-01,21.4,39,68,96,51,51,53,25,45,83,6,302.17,3.67236,8.0,79.05375226
2017-03-01,21.9,44,64,82,47,44,52,23,39,62,5,305.24,3.66594348,8.0,80.0977995
2017-04-01,21.4,29,53,69,43,38,41,17,33,59,4,309.23,3.653835,8.0,82.29089602
2017-05-01,20.8,31,59,65,45,43,41,19,35,58,3,310.61,3.5638619,8.0,81.26464265
2017-06-01,20.9,29,65,68,43,49,37,19,39,58,4,309.78,3.51899,8.0,81.72621353
2017-07-01,20.4,32,72,78,51,61,45,33,35,50,4,310.24,3.55986667,8.0,81.56111329
